Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Typescript,Bigquery;Elasticsearch;Mongodb;Postgresql,Amazon Web Services (Aws);Firebase;Heroku;Netlify;Vercel,Express;Gatsby;Nestjs;Next.js;Node.js;React,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Github Copilot;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Html/Css;Javascript;Python;Rust;Sql;Typescript,Dynamodb;Mongodb;Mysql;Redis;Sqlite,Amazon Web Services (Aws);Fly.io;Netlify;Vercel,Angular;Express;Next.js;Node.js;React,Oil & Gas,Bing Ai;Chatgpt;Google Bard Ai,Adrenaline;Github Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Employed, Full-Time"
Durban Campus,Computer Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",System Administrator,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Javascript;Powershell;Ruby;Typescript,Mariadb;Microsoft Sql Server;Mysql;Postgresql;Sqlite,Digital Ocean;Microsoft Azure;Netlify,Asp.net Core;Next.js;React;Ruby On Rails,"Manufacturing, Transportation, Or Supply Chain",Unknown,Github Copilot;Mintlify,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Java;Javascript;Python;Sql;Typescript,Cloud Firestore;Mongodb;Mysql;Postgresql;Sqlite,Amazon Web Services (Aws);Firebase;Google Cloud;Heroku;Netlify;Vercel,Angular;Express;Nestjs;React,Healthcare,Bing Ai;Chatgpt,Aws Codewhisperer;Codeium;Tabnine,"Not Employed, But Looking For Work"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Kotlin;Powershell;Python;Sql;Typescript,Cosmos Db;Microsoft Sql Server;Mysql;Redis,Digital Ocean;Microsoft Azure;Netlify,Asp.net Core;Node.js;Vue.js,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Codeium;Github Copilot;Synk Code,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Dart;Go;Haskell;Html/Css;Java;Javascript;Kotlin;Php;Sql;Typescript,Cassandra;Dynamodb;Elasticsearch;H2;Mariadb;Mongodb;Mysql;Oracle;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Microsoft Azure,Angular;Express;Spring Boot,Insurance,Chatgpt,Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Javascript;Sql;Typescript,Mongodb;Mysql;Oracle;Postgresql,Netlify;Vercel,Express;Next.js;React,Advertising Services,Chatgpt,Aws Codewhisperer;Github Copilot;Whispr Ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Javascript;Php;Ruby;Typescript,Mysql,Amazon Web Services (Aws);Cloudflare;Netlify,Laravel;Next.js;React;Ruby On Rails,Advertising Services,Chatgpt,Aws Codewhisperer;Github Copilot;Synk Code,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Typescript,Dynamodb;Mongodb;Mysql,Amazon Web Services (Aws);Digital Ocean,Express;Node.js;React,Healthcare,Chatgpt,Aws Codewhisperer;Github Copilot;Whispr Ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C;C#;C++;Html/Css;Java;Javascript;Php;Powershell;Python;R;Scala;Sql;Typescript,Oracle;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Digital Ocean;Microsoft Azure,Django;Fastapi;Flask;Jquery;Node.js;Vue.js;Wordpress,Legal Services,Chatgpt;Wolframalpha,Adrenaline;Github Copilot;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
